anime_id,name,rating,genres,users_watched,users_rated,url
49587,Wan Sheng Jie 3,7.86,"Comedy,Slice of Life,Supernatural,Mythology",3249,1094,https://myanimelist.net/anime/49587/Wan_Sheng_Jie_3
18397,Shingeki no Kyojin OVA,7.86,"Action,Drama,Gore,Survival,Shounen",411445,241239,https://myanimelist.net/anime/18397/Shingeki_no_Kyojin_OVA
569,Musekinin Kanchou Tylor,7.86,"Comedy,Sci-Fi,Adult Cast,Military,Parody,Space",44336,14716,https://myanimelist.net/anime/569/Musekinin_Kanchou_Tylor
37765,Mobile Suit Gundam: Hathaway's Flash,7.86,"Action,Drama,Sci-Fi,Mecha,Military,Space",26140,12770,https://myanimelist.net/anime/37765/Mobile_Suit_Gundam__Hathaways_Flash
48438,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,7.86,"Fantasy,Slice of Life,Shounen",50677,3363,https://myanimelist.net/anime/48438/Mahoutsukai_no_Yome__Nishi_no_Shounen_to_Seiran_no_Kishi
25517,Magic Kaito 1412,7.86,"Adventure,Comedy,Romance,Shounen",113687,52889,https://myanimelist.net/anime/25517/Magic_Kaito_1412
949,Top wo Nerae! Gunbuster,7.87,"Action,Comedy,Drama,Sci-Fi,Mecha,Military,Space,Shounen",112369,47803,https://myanimelist.net/anime/949/Top_wo_Nerae_Gunbuster
9941,Tiger & Bunny,7.87,"Action,Comedy,Mystery,Adult Cast,Super Power",212504,85760,https://myanimelist.net/anime/9941/Tiger___Bunny
6505,There She Is!!,7.87,"Comedy,Romance,Anthropomorphic",23612,13105,https://myanimelist.net/anime/6505/There_She_Is
6582,Tentai Senshi Sunred 2nd Season,7.87,"Comedy,Parody,Super Power,Seinen",7492,3376,https://myanimelist.net/anime/6582/Tentai_Senshi_Sunred_2nd_Season
22,Tennis no Ouji-sama,7.87,"Sports,School,Shounen",168280,78957,https://myanimelist.net/anime/22/Tennis_no_Ouji-sama
11123,Sekaiichi Hatsukoi 2,7.87,"Boys Love,Comedy,Drama,Romance",147279,85522,https://myanimelist.net/anime/11123/Sekaiichi_Hatsukoi_2
26123,Seitokai Yakuindomo* OVA,7.87,"Comedy,Gag Humor,School,Shounen",73158,29817,https://myanimelist.net/anime/26123/Seitokai_Yakuindomo_OVA
2605,Sayonara Zetsubou Sensei,7.87,"Comedy,Gag Humor,Parody,School,Shounen",323057,121924,https://myanimelist.net/anime/2605/Sayonara_Zetsubou_Sensei
